TIME,O21,O22,PEDAL,THROTTLE,NE,MAP,TA,STFT,LTFT
6465,0.72,0.76,23.14,16.47,1566.25,31,37,0.78,5.47
6466,0.72,0.76,23.14,16.47,1566.25,31,37,0.78,5.47
6467,0.38,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6468,0.38,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6469,0.38,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6470,0.1,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6471,0.1,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6472,0.1,0.76,23.14,16.47,1570.25,31,37,-0.78,5.47
6473,0.1,0.76,23.14,16.47,1566.25,31,37,0,5.47
6474,0.1,0.76,23.14,16.47,1566.25,31,37,0,5.47
6475,0.1,0.76,23.14,16.47,1566.25,31,37,0,5.47
6476,0.36,0.76,23.14,16.47,1570.25,31,37,1.56,5.47
6477,0.36,0.76,23.14,16.47,1570.25,31,37,1.56,5.47
6478,0.78,0.76,23.14,16.47,1542.75,31,37,1.56,5.47
6479,0.78,0.76,23.14,16.47,1542.75,31,37,1.56,5.47
6480,0.78,0.76,23.14,16.47,1542.75,31,37,1.56,5.47
6481,0.76,0.76,23.14,16.47,1507.75,32,35,0.78,6.25
6482,0.76,0.76,23.14,16.47,1507.75,32,35,0.78,6.25
6483,0.76,0.76,23.14,16.47,1507.75,32,35,0.78,6.25
6484,0.74,0.76,23.14,16.47,1507.75,32,35,0,6.25
6485,0.74,0.76,23.14,16.47,1507.75,32,35,0,6.25
6486,0.74,0.76,23.14,16.47,1507.75,32,35,0,6.25
6487,0.74,0.76,23.14,16.47,1511.5,32,34,0,6.25
6488,0.74,0.76,23.14,16.47,1511.5,32,34,0,6.25
6489,0.7,0.76,23.53,16.47,1507.75,32,34,-0.78,6.25
6490,0.7,0.76,23.53,16.47,1507.75,32,34,-0.78,6.25
6491,0.7,0.76,23.53,16.47,1507.75,32,34,-0.78,6.25
6492,0.32,0.76,23.53,16.47,1519.5,32,34,-1.56,5.47
6493,0.32,0.76,23.53,16.47,1519.5,33,34,-1.56,5.47
6494,0.32,0.76,23.53,16.47,1519.5,33,34,-1.56,5.47
6495,0.1,0.76,23.53,16.47,1523.25,33,35,-0.78,5.47
6496,0.1,0.76,23.53,16.47,1523.25,33,35,-0.78,5.47
6497,0.1,0.76,23.53,16.47,1523.25,33,35,-0.78,5.47
6498,0.1,0.76,23.53,16.47,1539,33,35,0,5.47
6499,0.1,0.76,23.53,16.47,1539,33,35,0,5.47
6500,0.4,0.76,23.53,16.47,1550.75,33,35,0.78,5.47
6501,0.4,0.76,23.53,16.47,1550.75,33,35,0.78,5.47
6502,0.4,0.76,23.53,16.47,1550.75,33,35,0.78,5.47
6503,0.74,0.76,23.53,16.47,1558.5,33,35,0.78,5.47
6504,0.74,0.76,23.53,16.47,1558.5,33,35,0.78,5.47
6505,0.74,0.76,23.53,16.47,1558.5,33,35,0.78,5.47
6506,0.74,0.76,23.53,16.47,1574,33,35,0,6.25
6507,0.74,0.76,23.53,16.47,1574,33,35,0,6.25
6508,0.74,0.76,23.53,16.47,1574,33,35,0,6.25
6509,0.3,0.76,23.53,16.86,1582,33,35,0,6.25
6510,0.3,0.76,23.53,16.86,1582,33,35,0,6.25
6511,0.1,0.76,23.53,16.47,1597.5,33,35,0.78,6.25
6512,0.1,0.76,23.53,16.47,1597.5,33,35,0.78,6.25
6513,0.1,0.76,23.53,16.47,1597.5,33,35,0.78,6.25
6514,0.14,0.76,23.53,16.86,1617,33,35,1.56,6.25
6515,0.14,0.76,23.53,16.86,1617,33,35,1.56,6.25
6516,0.14,0.76,23.53,16.86,1617,33,35,1.56,6.25
6517,0.78,0.76,23.53,16.47,1625,33,36,2.34,6.25
6518,0.78,0.76,23.53,16.47,1625,33,36,2.34,6.25
6519,0.78,0.76,23.53,16.47,1625,33,36,2.34,6.25
6520,0.8,0.76,23.53,16.86,1640.5,33,36,1.56,6.25
6521,0.8,0.76,23.53,16.86,1640.5,33,36,1.56,6.25
6522,0.78,0.76,23.53,16.47,1656.25,33,36,0.78,6.25
6523,0.78,0.76,23.53,16.47,1656.25,33,36,0.78,6.25
6524,0.78,0.76,23.53,16.47,1656.25,33,36,0.78,6.25
6525,0.76,0.76,23.53,16.86,1667.75,33,37,0,6.25
6526,0.76,0.76,23.53,16.86,1667.75,33,37,0,6.25
6527,0.76,0.76,23.53,16.86,1667.75,33,37,0,6.25
6528,0.7,0.76,23.92,16.86,1671.75,33,37,-0.78,6.25
6529,0.7,0.76,23.92,16.86,1671.75,33,37,-0.78,6.25
6530,0.7,0.76,23.92,16.86,1671.75,33,37,-0.78,6.25
6531,0.38,0.76,23.92,16.86,1679.5,33,37,-0.78,6.25
6532,0.38,0.76,23.92,16.86,1679.5,33,37,-0.78,6.25
6533,0.1,0.76,23.92,16.86,1691.25,34,37,-0.78,6.25
6534,0.1,0.76,23.92,16.86,1691.25,34,37,-0.78,6.25
6535,0.1,0.76,23.92,16.86,1691.25,34,37,-0.78,6.25
6536,0.12,0.76,23.92,16.86,1703,34,37,0,6.25
6537,0.12,0.76,23.92,16.86,1703,34,37,0,6.25
6538,0.12,0.76,23.92,16.86,1703,34,37,0,6.25
6539,0.76,0.76,23.92,16.86,1714.75,34,38,1.56,6.25
6540,0.76,0.76,23.92,16.86,1714.75,34,38,1.56,6.25
6541,0.76,0.76,23.92,16.86,1714.75,34,38,1.56,6.25
6542,0.78,0.76,23.92,16.86,1726.5,34,38,0.78,6.25
6543,0.78,0.76,23.92,16.86,1726.5,34,38,0.78,6.25
6544,0.76,0.76,23.92,16.86,1738.25,34,38,0,6.25
6545,0.72,0.76,23.92,16.86,1746,34,38,-0.78,6.25
6546,0.72,0.76,23.92,16.86,1746,34,38,-0.78,6.25
6547,0.72,0.76,23.92,16.86,1757.75,33,38,-0.78,6.25
6548,0.72,0.76,23.92,16.86,1757.75,33,38,-0.78,6.25
6549,0.6,0.76,23.92,16.86,1753.75,33,38,-1.56,6.25
6550,0.6,0.76,23.92,16.86,1753.75,33,38,-1.56,6.25
6551,0.6,0.76,23.92,16.86,1753.75,33,38,-1.56,6.25
6552,0.12,0.76,23.92,16.86,1761.5,34,38,-2.34,6.25
